,text
52,"#2020election Goal:  Defeat #narcissist #Trump , Free #America,  the #World and #Democracy from the #Evil, #crooked… https://t.co/eSLSJXMlfp"
53,"First US death from the #coronavirus has been announced in Washington state. #Trump, who yesterday told supporters… https://t.co/wtfNvwbk0H"
54,Most #Republicans keep lauding #Trump's handling of the #CoVid19 hoax... https://t.co/yesyhotjaf
55,"WHO: 'Very high' risk of coronavirus spreading worldwide
https://t.co/x5CrANDDEa #trump #RushLimbaugh lies ⁦… https://t.co/nT6i7JSJac"
56,"@piersmorgan Best hit #trump @realDonaldTrump up for an instant, decisive and informative response... we know how y… https://t.co/LywBfviq8g"
57,@realDonaldTrump #ChrisMatthews apparently watched as did all the leftist media hoping that week of beating #Trump… https://t.co/S5cLjqQssy
58,"Bad move for the Trump administration in my opinion, 

gave up trillions of dollars in an effort to rid Afghanistan… https://t.co/ZXIN5qBt6v"
59,This time some people will die from #Trump’s cynicism. https://t.co/bcfxhdbL3e
60,Following Dorothea Lange’s Notebooks - https://t.co/Jc97N3Eg2i - #uspolitics #trump #potus #Election2020
61,"I just listed: 'Canyon Echoes: New Music for Flute &amp; Guitar', for 14.35 via @amazon https://t.co/zrskpX1pFY Books A… https://t.co/e7xOhWpO3R"
62,@CNN actually went full on #Trump by putting #PresidentBernieSanders and #COVID19US on the same fucking chyron. Sha… https://t.co/oQrAfzFfZ4
63,"BREAKING: First coronavirus death in America confirmed by Washington state health officials.

#coronavirus #covid19 #trump"
64,Washington | New coronavirus cases of unknown origin found on West Coast Not a #Hoax #Trump https://t.co/JuUNEp32iU
65,Donald #Trump will be happy with the #SaudiCup as his favorite horse Maximum Security just won the world's richest… https://t.co/xJdHabmYE8
66,"The spread of misinformation by this President is now starting to take American lives. 

It’s just a “hoax” right?… https://t.co/15qeuiaqJm"
67,"Chuck @SenSchumer deleted this tweet.

It’s now apparent that this addition to the #TravelBan helped stop the sprea… https://t.co/vd5urCPLhp"
68,#Taliban So the #USA does negotiate with #Terrorists. #Trump did a deal with the Rat Patrol? I like plan B better.… https://t.co/7zWcmoSfka
69,"@BhadraPunchline If only #Trump kept his tweeting in check. 
#coronavirus could be more dangerous than #Fluvirus."
70,Today is an EXTRA day of #Trump as our President.   And I mean he is EVERYONES President.    Enjoy the day. https://t.co/dDjAqaYmS1
71,USA and Taliban sign deal aimed at ENDING WAR is #Afghanistan! https://t.co/hq6JzQ5hwX @OANN @_StephanieMyers… https://t.co/vbTk9tVufL
72,"Come on Ted!

#Trump never exaggerates or lies even if it means doing so would help his polls. He only puts the bes… https://t.co/1B1lE35WdX"
