,text
53,Remember early this week when this was under control? #coronavirus #incompetence #TrumpVirus https://t.co/Tw4CSS1WBE
54,China destroying #coronavirus documents! https://t.co/0d03DVdvZe
55,So @realDonaldTrump is gonna make some announcement today so he can’t be accused of “only campaigning” during this… https://t.co/pHHDbaerPE
56,It was #coronavirus https://t.co/fnmz2svvPv
57,First death in the United States from #Coronavirus. Pray for everyone. China has unleashed a biological weapon on s… https://t.co/hQfi59UGj0
58,"""BREAKING NEWS: PERSON IN WASHINGTON STATE FIRST IN U.S. TO DIE FROM COVID-19"" A person has died in #Washington sta… https://t.co/2X0BGSeQPO"
59,"2020

2019 Novel #Coronavirus Outbreak (#COVID19US) #washington state resources #Health @SNHDinfo

https://t.co/ItA39VyQQV"
60,"First Patient dies of #CoronaVirus in Washington State

Joined our union on 11/11/1889

Death seems to be on 2/29/2… https://t.co/jy2MJ8FbA9"
61,Trump administration has dragged its feet on safety regulations that would protect health-care workers against coro… https://t.co/EydPgXfVKK
62,"#CoronaVirus #USA ""The virus can cause fever, coughing, wheezing and pneumonia. Health officials think it spreads m… https://t.co/cvRqvB9YuP"
63,Richard Ratcliffe: “The prison is avoiding confirming whether Nazanin has #coronavirus – but I would be surprised i… https://t.co/w8eR4f5o2F
64,@WHO #UPDATE: First #coronavirus death on #US soil has been reported in #Washington state https://t.co/A8JIjcWRX6 https://t.co/0kh6ULZRGJ
65,"#CostcoPanicBuying 
#coronavirus 
#CoronavirusOutbreak 
#2019_nCov 
#COVID19 

Its happening. https://t.co/KTaAEEb4mz"
66,"Four children from a kindergarten in Heinsberg, western Germany, are infected with the new coronavirus, a municipal… https://t.co/mcwsTwQgq0"
67,"Tracking #coronavirus : Map, data and timeline - BNO News https://t.co/3NPNQWkIQm"
68,People wash your hands and use hand sanitizer PLEASE #coronavirusnz #coronavirus
69,@realDonaldTrump Will someone from World Health Organization be there. Head of CDC? Scientists? Researches? Doctors… https://t.co/ZfGOsHySDn
70,"So looks like @realDonaldTrump will be late as usual — waiting for your meds to kick in? 

Stop staying the #coronavirus is a hoax."
71,Iran claims fewer than 600 infections so far. Judging from the number of people from Iran arriving in other places… https://t.co/ckvEDNQ5JS
72,"In the U.S. alone, the flu has already caused an est. 26M ill, 250K hospitalized &amp; 14K deaths this season, accordin… https://t.co/5xBtKCbdPJ"
73,"Personifications of #medicine, #pharmacy and surgery: #earlymodern #allegory after(?) Nicolas de Larmessin I, ca.16… https://t.co/Oo7K4zvuA0"
74,Expect Wall Street to crash again on Monday and Deplorables will lose their U.S Dictator Donald Trump in November.… https://t.co/68lh6gLJAS
75,@mearant12 @CABRAXAS10 What is the point in constantly trying to minimise #coronavirus?
76,Go #scientist beat this virus #corona #coronavirus #Coronavid19 https://t.co/gseWw2iaub
77,"Maybe because Putin is spreading it? I dunno, from a conspiracy pov sounds like guilt not exoneration or validation… https://t.co/s2Uaom7XPb"
78,"Trump’s right, never before has a President confronted with a possible pandemic in which he categorically denies th… https://t.co/qk7mLEo6Ja"
79,With the #coronavirus spreading are you going to
