,text
53,"@CDCDirector @CDCgov @RichardGrenell @mikepompeo @PressSec @jaredkushner @IvankaTrump 

Sounds like a political set… https://t.co/e6FESmXq4v"
54,"Warsh your nasty crumb snatchers, and if it’s wet, DONT TOUCH IT. #coronavirus"
55,"The 51-year-old woman returned from Iran on Feb. 22 and went to an Ajax clinic on Friday Feb. 28 with a cough, body… https://t.co/ExeaVQklgR"
56,"Oct. 15, 2014, @realDonaldTrump said @BarackObama had a ""personal responsibility"" to visit and embrace ALL people i… https://t.co/ZdJXIR9V3K"
57,@NancyLeeGrahn a mask  will not help  viruses can still find their way into ur body via ur eyes    hoard up on frui… https://t.co/1OK0V9mOwP
58,"#CORRECTION: An earlier report stated that it was a woman who died of #coronavirus in #Washington state, #US. That… https://t.co/2W3LgkZnps"
59,"Health officials in #SanDiego are monitoring 141 people for #coronavirus, but stress there are currently no confirm… https://t.co/ixXXYUCvpD"
60,One effect of the #coronavirus: the whole world has a common enemy. If you believe the Hollywood fantasies (case st… https://t.co/aviUftkERZ
61,"@irlety36 @robinfromjapan He's got the flu.  I doubt the validity of the 'corona virus test'. Abstract tests, where… https://t.co/qg33MfUbca"
62,"#Coronavirus :Trump Expands Iran Travel Restrictions - The New York Times Coronavirus Live 
The announcement includ… https://t.co/qtuLUAoix8"
63,How #Coronavirus Is A #MajorDisrupter To The #SportsWorld https://t.co/HCUFvHxTCZ
64,"During his Saturday #coronavirus press conference, #Trump misidentified the first #COVID19 victim as a woman instea… https://t.co/aEW0XG1q4p"
65,@ChrisLu44 @Cruellaisdevine All those airport drivers become nodes for infection.  #coronavirus
66,"@RickyRayinGA @erotao @POTUS Schumer, Pelosi &amp; Cronies planned funding to include their cut in #coronavirus… https://t.co/QMi9d81Kmx"
67,A fairy tale ending: China’s battle against the epidemic transforms into political slogans https://t.co/5hKlEe7y7n… https://t.co/Log6Va3HXO
68,"Clever move by the HSE, telling us they’ve confirmed a case of the #coronavirus in the Republic, but won’t say wher… https://t.co/pvEGcGow9c"
69,Hey if anyone has video of photos of their local stores having trouble staying stocked or people stocking up more t… https://t.co/nUkMs5V2RN
70,No communication prior to arrival? No PPE? No city can lose a crew for 14 days every time they go to a nursing home… https://t.co/4NZKjGt7D0
71,With this #coronavirus spreading and the first death I’m only going to fill my tank halfway....I don’t want to go t… https://t.co/wh8pMUEaas
72,@ColeMillerTV Do some actual investigative work. Waiting to be spoonfed “updates” by PR people is not #journalism W… https://t.co/8ATYlByfjP
73,"To fight #coronavirus, France urges no more greetings with #kisses, bans large gatherings
https://t.co/QFoglC93DM"
74,@catehstn We're doing this because folks may need it in the coming weeks due to #Coronavirus #COVID19. If workplace… https://t.co/HyswWwX2nO
75,"@ScottMorrisonMP Hmmm, #ScottyFromMarketting led the world in handling the #coronavirus crisis?  Considering, it st… https://t.co/WwWAOOqvnC"
76,"Israeli scientists: ""In a few weeks, we will have #coronavirus vaccine"" https://t.co/Sxd4sCTVLh via @Jerusalem_Post"
77,"@ChrisAlbertoLaw Trump is a #Hoax

#coronavirus @gbpressgazette @Tennessean @tucsonweekly @daytondailynews… https://t.co/2qJrrefyeg"
78,"I'm in London where xy planes come each day, working on big award nights, studying at uni with people from all arou… https://t.co/pGDE5S9O2V"
79,@Gopgirl719 Sorry to hear. I too have a condition with my stomach that if I got the #CoronaVirus it could kill me too. Very scary times.
80,"[VP staffer @jsolmundson
returns from Twitter to help contain to the neg. news cycle]

@j:It feels like only a day… https://t.co/49Mlx9Q7Wx"
81,"I survived bombs, bullets and law exams not to die of #coronavirus. 

Be calm - everything will be as it is supposed to be."
82,Eastside is at outbreak level for sure IMO. #Coronavirus is no hoax. Nursing home is a horrible place for infection… https://t.co/iEkH0ixWJd
83,Is it bad that I’m not mad about the coronavirus panic? Keep the panic going and lower those mortgage rates until w… https://t.co/Bi5Af8BuMF
84,"New #COVID19 definition of “Persons Under Investigation,” and revised test-kits. https://t.co/iJk3QYV4dF… https://t.co/6UBaH5KoIY"
85,Any one think it's a good idea for me to drink this tea my brother-in-law brought from China? #coronavirus https://t.co/OV4tgIuL4P
86,"#Kirkland, #WashingtonState #COVID19 Related THREAD via @ColeMillerTV, @komonews #Seattle 🔽

#coronavirus… https://t.co/qetGPQ8klv"
87,"Little hero!
https://t.co/SEGQxn5mNL
#coronavirus #Baby"
88,"The pinnacle of human development, hopefully this serves as a moral boost during #coronavirus https://t.co/Sq1S74GE8i"
89,"#UPDATE: Another patient loaded into ambulance at Life Care Center of Kirkland in #Washington State.

#coronavirus… https://t.co/dDcXZczD4C"
90,Has Sen Chris Murphy &amp; the other treacherous #Democrats who held a secret meeting w/Javad Zarif been examined by a… https://t.co/3442uHoT2z
91,Hopefully the #coronavirus is racist and avoid black people
92,@ewarren @WajahatAli If we suffer through a serious #coronavirus epidemic it will be clear that the lack of paid si… https://t.co/3xbrYmg5Re
93,Coronavirus patient from Diamond Princess says symptoms hit ‘hard and fast’ #USA #WHO #China #Iran #Italy… https://t.co/zMtHidn6AE
94,"@ewarren is the obvious answer. She's already got a plan for #coronavirus

She is the smartest of the group. She ca… https://t.co/yMyYuB3V0A"
95,Almost all preps r done. Gotta get stuff fir a foot bath station and another storage box tomorrow along w regular g… https://t.co/5KoAEjDD87
96,"Heard that this #coronavirus can break the Mayo curse. Pass it on 
#Ireland"
97,EXCLUSIVE: Mexico (2 cases) is considering imposing entry restrictions at the US (472 cases)-Mexico border to contr… https://t.co/SMZ3qjC8cC
98,How the #COVID-19 is similar to the 1918 Flu that killed 1/3 of the worlds population and how the Window of opportu… https://t.co/04QRZJQsVQ
99,But after being kept such inhumane conditions locked inside which is supposed to protect us from virus i find mysel… https://t.co/jRKsymZgcP
100,Worth watching a few minutes to contrast the level of professionalism with the earlier WH #coronavirus presser .... https://t.co/6MNGqtyJOG
101,Y’all should have been washing your hands...ever taken microbiology? #coronavirus
102,Imagine if only a single person carries #coronavirus than this would be worse than a #diamondprincesscruise. I foun… https://t.co/gon5AXMNf2
103,@Benefield @RexChapman This is how #CoronaVirus spreads thru the community.
104,"Dear @zfrmrza we are confronted with harsh conditions here at #taftan
Thousands of people including men women and c… https://t.co/l1RbqM9R6k"
105,"Wise words!

The #media has an uncanny knack of turning caution into #hysteria.

#Coronavirus https://t.co/u6VTgDYhDy"
106,It's reached Mumbai. #coronavirus https://t.co/qqFyXLD2N4
107,#UK - Take Preventive #Action on #Coronavirus - Sign the Petition! https://t.co/BKxPehhv2T via @UKChange
108,The Last Day To Prepare (Mostly) https://t.co/w1o6nO9j7L via @YouTube #CoronaVirusUpdates #Covid19usa #coronavirus… https://t.co/5ZJPAPOg4k
109,1st confirmed death due to the #coronavirus in the US wasn't a woman. It was a man in his 50s. @realDonaldTrump wou… https://t.co/pwEwDOwUbU
110,I think everything is a democratic plot to our president even this #coronavirus spreading around and he think it go… https://t.co/pbbmCOsB7a
111,@jaketapper @CNNSotu @VP @CNN Waiting for Pence to say that the #coronavirus is God’s revenge against Democrats.
112,"@Twitter @Alyssa_Milano @Rosie @TrueFactsStated Friends, it's a one-woman show, and I'm just finishing the final st… https://t.co/f39fyEtkJ9"
113,"Attention: Event Organizers! 

A great read from @rwang0 on the best practices for hosting events while we are deal… https://t.co/2Zzi35elKb"
114,Questions about the #coronavirus? Dr. Passarreti answers FAQs here - https://t.co/0lF7nM1ngL #AtriumHealth
115,"kindly, mr #trump @POTUS,  with the other measures you took about #coronavirus take back your thousands of soldiers… https://t.co/RfpcvMLhKs"
116,Tell em! #WordsOfWisdom #coronavirus https://t.co/Ord6hSnTc8
117,"#NASA #ESA pollution monitoring satellites have detected significantly less level of nitrogen dioxide over #Wuhan,… https://t.co/UVrp1aNYwL"
118,"#SowetoDerby
#coronavirus don cos smthin oo
Just bcs I said am not feeling too well..😩😩U can't believe what this la… https://t.co/OzR1yt08LU"
119,"In #Iran's #Evin Prison, reports are that imprisoned #NazaninZaghariRatcliffe  is thought to have contracted… https://t.co/3S6xLNV9nl"
120,#coronavirus Climate Cleaning https://t.co/YGNZek3nMv
121,The US Center of Disease for Control and prevention suggests some facial-hair styles worn by men could interfere wi… https://t.co/QZqPmR4sZp
122,UPDATE on first US #coronavirus death.  https://t.co/JGc1ttzAKw  #COVID19
123,can’t stop sneezing and then laughing at everyone’s reaction on this flight #coronavirus
124,@pmeganb Looking at #EVALI clinical findings and effect on the angiotensin-renin system reveals reduction in ACE2 a… https://t.co/7zJzunqIu3
125,"Maaaaaan look...😷🙅🏽‍♂️
#coronavirus #COVID-19 #washyadamnhands #donttouchyoface #eatyovegetables  #wakanda… https://t.co/eGvVMiH5XX"
126,Ryanair And Wizz Air Flights Banned From Montenegro Due To Coronavirus. Montenegro banned all flights from Northern… https://t.co/zKyMqq6Bvi
127,"Trump said yesterday the virus is going to disappear one day like a miracle.  Really, Mr. President? Because just h… https://t.co/3by0cVv4DM"
128,Not to scare you but the death rate in Italy is at 3% which is much higher than was expected. Normal flu is 0.1% as… https://t.co/S1fJRSihsU
129,"Thanks to all of you For Sooo Much support 😘😘😍

Video : https://t.co/zvfsvWw53b

#WATLIV #الاتحاد_الشباب #BOUCHE… https://t.co/0IxwCgNS5Z"
130,"""The U.S. State Department issued a level three #travel advisory -- the second-highest level of warning -- for the… https://t.co/hz4JKLtdra"
131,"Cough up a lung so people know you mean business.

#coronavirus"
132,"Congressional Democrats
and LEFTIST media
suffer from 
#CoronaVirus Derangement Syndrome"
133,Time for the #World to step up or we’re all fucked #irancoronavirus #COVID2019 #coronavirus #Covid19
134,@JulieAMcDowall Where can I get one of those suits? #coronavirus
135,It's truly #sickening that this serious #illness is being called a #hoax or being used for #politics on EITHER SIDE… https://t.co/tSwTWXEBmW
136,"Nope. Not a Global #CoronaVirus update. These are #COVID19 counts for just Europe.

🇮🇹: 1140
🇫🇷: 100
🇩🇪: 79
🇪🇸: 45… https://t.co/dngw2YkB1h"
137,@redskinstoday_ Man! If the #coronavirus is scary... this rumor topped it. Please let this be #fakenews 🙏
138,Are you prepared for a #coronavirus quarantine? Here's what you need to make it through: https://t.co/WNRQ5PO0GQ… https://t.co/SolNE1aqux
139,"With the #Coronavirus now in the Bay Area and Santa Clara county specifically, I don’t know if going to the… https://t.co/gtIxwP6EuY"
140,How did we survive so many years with out hand sterilizer... #coronavirus #Coronavid19 Stores out of the hand steri… https://t.co/0wPrlLoVj4
141,Australia's Export Exposure to China's #Coronavirus Epidemic #auspol https://t.co/kflsBPXgEe https://t.co/XGVFpAN0CC
142,"The first, Who to predict the market collapse. #coronavirus #DowJones #collapse #investors https://t.co/CnQyeVDYG6"
143,Looks like the vacation is over. 38% of beer-drinking Americans won't order a Corona because of the virus.… https://t.co/zXvhGGHA8T
144,Moldex 9000 Series Reusable Full Respirator/Mask Multi-Gas/Vapor Cartridge/P100 https://t.co/v18RWeMrRu ad… https://t.co/1kCTZH016m
145,"First #coronavirus death in US 🦠 #CoronaVirusUpdate
https://t.co/8yUEjHXVfv"
