,text
47,"@blakehounshell In 2014 Steve Bannon studied how ISIS used #facebook to recruit across the world.

Then, he followe… https://t.co/4nKZEwiU8u"
48,"@realDonaldTrump @Scavino45 @RudyGiuliani @JaySekulow 
Signs of the times:
Thread by @starknightz: 1. Americans Are… https://t.co/5ScIp0VyR9"
49,@GOP @realDonaldTrump Seeing this from #trump might prove this debate right! Hit the link to share your opinion on… https://t.co/ws7AGYygM5
50,"@dontfalforit @IlhanMN No, specifically THIS is why #Trump spews #AmericaFirst .. it was his first dogwhistle to th… https://t.co/jv3mO6yliO"
51,"@GOP
 @GOPLeader
 @SenateGOP
 @HouseGOP
 @SenMikeLee @SenRickScott #Trump https://t.co/nzE2KCQxzh #LamarAlexander… https://t.co/9wYgoR5LpK"
52,"@SenSchumer @SpeakerPelosi @RepAdamSchiff Not only did #Obama+#ObamaLeaders do this to #Trump, #brennan Clapper… https://t.co/3CHIAQWa59"
53,There's no need for corrupt #Republicans to remove a criminal like #Trump from office... They're perfectly happy ha… https://t.co/mkIlfgimMX
54,"I do, and it is not #tRUMP! https://t.co/t3NNMbpEKQ"
55,"Obviously, #Trump has a condition called Marcissism.  It’s when you think you come from the Planet Mars &amp; you’re in… https://t.co/5A98LDxMIH"
56,"Kayleigh McEnany @kayleighmcenany  
Great to join @SarahHuckabee in visiting our incredible volunteers at the 
Trum… https://t.co/DgGAitSUQG"
57,@politvidchannel Ironically #JohnRoberts will preside over oral arguments when #Trump's #DoJ will argue that Court… https://t.co/pNbCgB3mBv
58,@jahimes @AshaRangappa_ It’s #Trump opinion that they fear
59,"What are you &amp; #Trump hiding, @MittRomney @lisamurkowski @SenSusanCollins @SenAlexander @SenCoryGardner @ThomTillis… https://t.co/wwtNSiaRRO"
60,"@sprinklesvintge @dvillella @LindseyGrahamSC The polls are ""Trash"" because you don't want to hear 
 results that yo… https://t.co/fAhbQR2kF0"
61,@realDonaldTrump @POTUS Americans should they congratulate you M. #Trump ?Do you do the miracle of stopping the… https://t.co/I7mKtHyvYz
62,#BernieOrBust supports to me have to be stupid. If #BernieSanders lose the nomination we get another 4 years of… https://t.co/SIvsW0pTwr
63,WHEN WILL THE ADM INVESTIGATE THIS CRIMINAL RUNNING 2-B LEADER OF THE FREE WORLD! YA GONNA JUST LET #TRUMP BE DESTR… https://t.co/BLLIG0zsxM
64,"Thread by @starknightz: 1. Americans Are More Satisfied in Economy, National Security After Three Years of Trump: G… https://t.co/f6Dgixos6X"
65,"OMG that sounds something like #Republicans would do at #ImpeachmentHearings. Oh wait, they DID did that at the… https://t.co/9fVV0SWqmv"
66,"@thehill It's also to remember that no matter what our personal preference is, beating #Trump and the #GOPSenate is… https://t.co/czX8A9oQdw"
67,"I’m not watching the Super Bowl for obvious reasons...

However I am interested in the ‘battle of the billionaires’… https://t.co/Nol8UwFduM"
68,"@MMFlint @RashidaTlaib Too bad @BernieSanders isn’t a #Democrat 

Just another distraction for #Trump"
69,@TheAllianceShop @realDonaldTrump We are #TRUMP!!😍
70,"@WhiteHouse BEST PRESIDENT EVER ❗️🇺🇸
Thank you for all that you do, all that you will do and for saving this unappr… https://t.co/nzafjMH0DT"
71,The #Impeachment trial proves the #GOP is filled with #RussianAssets &amp; co-conspirators of #Trump in his many crimes… https://t.co/Qfvb4eMmmu
72,"#TheFutureBeginsTomorrow!
#YoyoDyne

#HighSchooldays #CollegeStudent 
#Students Edumuhcated.

I love the uneducated… https://t.co/Wtkj3y9i1L"
73,"The #GoodNews this week?

It's not that #Democrats looked like fools... again.
And, yes, #Republicans had a good we… https://t.co/47TCXLffQT"
74,@BriansNewHeart @isabellabc @ISeeYouMotel6 @italgal37 @itsJeffTiedrich @ivyjofreeman @iwantarealr2d2 @J_A_B_63… https://t.co/6VkGaVLXwx
75,"Real question, excuse my ignorance. If whistleblowers are supposed to be protected by law, is it a criminal act to… https://t.co/n8QddxGgaI"
76,@nypost Must be a #trump rally coming soon.....
77,The PEOPLE decided by electing representatives to Congress. We have the right to demand &amp; expect our Senators to fu… https://t.co/yBwuPGHUhb
78,"Bernie Sanders is WINNING BIG in the Democratic Party!
#BernieSanders @BernieSanders @realDonaldTrump #TRUMP https://t.co/MNHXJ5yqbg"
79,"What #Trump has accomplished for you:
Gave the rich a big tax break
Raised tariffs 
Allowed increased water &amp; air p… https://t.co/5lebyEC0qL"
80,"I hear there's the possibility of another 7 impeachable charges (Bribery &amp; extortion involving Iran, Venezuela, Tur… https://t.co/Qw5D2DpQHG"
81,#Trump hijacks the spotlight from the  pros @NOAA (who spend all year preparing). He has NO BUSINESS playing weathe… https://t.co/X179SHOZ55
82,"@realDonaldTrump This guys gets 10/10 for the ability to boil Democrats piss in first gear.

#TRUMP2020 #legend… https://t.co/ZT4Ch0F6mt"
83,Never say never.... #trump is evil and more than half of middle  America are highly uneducated...….shit happens and… https://t.co/XRFZwJ3Bg2
84,"#Trump feet at a local high school #basketball match. #RadtkeLeaks , #feyEMM , #SingkatanKata , #ImpeachmentHearing… https://t.co/VuvQV81wRQ"
85,"William Barr and the DOJ are BLOCKING emails about Ukraine aid freeze until AFTER the #Impeachment vote. 

Can ANY… https://t.co/RlpToGwMyR"
86,@HillaryClinton So when we all vote for #Trump again does that mean you were wrong?!? Oh wait “ what does it matter… https://t.co/vqy5BOtNP5
87,Have you ever wondered about #Trump’s brain? https://t.co/sBi8yWRsBY
88,One of the saddest things in US news lately. And that says a lot. #Trump #ForeignPolicy #policy ##@AP @AlJazeera https://t.co/p5r490v3Dn
89,"Ever heard of Project Looking Glass...? 

If yes, check out this vid linked here. If no...also check out the link.… https://t.co/aeY4MvCZJC"
90,"#JoeBiden can't make it to #Iowa on time for his appearance on #CNN.  
They're covering for him with call ins from… https://t.co/7pOzuhkX8U"
91,@MMFlint Crazy #Bernie2020 would lose 48 states to King #trump .
92,"The New York Times.....HOW TO REMOVE TRUMP.
EXCELLENT ARTICLE.
#trump"
93,"✨🙏✨🇺🇸✨
@HillaryClinton 
@RashidaTlaib 
Thank You So Much!

What is this divisive
action!!!???

For a 
Democrat!

Hi… https://t.co/S6oQdbhPSk"
94,"Says buddy of #Hellywood perv, #HarveyWeinstein. #Caturday👉🏼#Idiot of the week @MMFlint&amp; his #FalsePremise #fantasy… https://t.co/xGCm6ZZ0pp"
95,{{Mood}} #AًsimForTheWin #Tًrump #Iًraq #مًتحرش_عرعر #بًن_زكري_وال44_احمق #مًتحرش_وادي_الدواسر #حًبيبي_محمد… https://t.co/63rFmWm6hg
96,{{Mood}} #AًsimForTheWin #Tًrump #Iًraq #مًتحرش_عرعر #بًن_زكري_وال44_احمق #مًتحرش_وادي_الدواسر #حًبيبي_محمد… https://t.co/76ajZaoYt1
97,{{Mood}} #AًsimForTheWin #Tًrump #Iًraq #مًتحرش_عرعر #بًن_زكري_وال44_احمق #مًتحرش_وادي_الدواسر #حًبيبي_محمد… https://t.co/yf4TYJJ5kr
98,Tired of these sanctimonious #GOP #Senators telling us that not hearing witnesses and keeping #trump in office is t… https://t.co/T8bFWpMcIw
99,{{Mood}} #AًsimForTheWin #Tًrump #Iًraq #مًتحرش_عرعر #بًن_زكري_وال44_احمق #مًتحرش_وادي_الدواسر #حًبيبي_محمد… https://t.co/qe26eDXZ1S
100,{{Mood}} #AًsimForTheWin #Tًrump #Iًraq #مًتحرش_عرعر #بًن_زكري_وال44_احمق #مًتحرش_وادي_الدواسر #حًبيبي_محمد… https://t.co/CoXwgxV2pZ
101,"Trumpers be trippin thinking they won something...yall lost America bro 
#GOPCOVERUPisNOTAcquittal… https://t.co/WkfKbrkBrw"
102,{{Mood}} #AًsimForTheWin #Tًrump #Iًraq #مًتحرش_عرعر #بًن_زكري_وال44_احمق #مًتحرش_وادي_الدواسر #حًبيبي_محمد… https://t.co/j5mgAYHhxj
103,"Make no mistake, the resemblance is no coincidence..
#Morrison #Trump
#Morrison's twisted logic on the sports rort… https://t.co/dBRPJzXTfW"
104,{{Mood}} #AًsimForTheWin #Tًrump #Iًraq #مًتحرش_عرعر #بًن_زكري_وال44_احمق #مًتحرش_وادي_الدواسر #حًبيبي_محمد… https://t.co/0SlUHaxHoF
105,{{Mood}} #AًsimForTheWin #Tًrump #Iًraq #مًتحرش_عرعر #بًن_زكري_وال44_احمق #مًتحرش_وادي_الدواسر #حًبيبي_محمد… https://t.co/xY5KUu5tn0
106,{{Mood}} #AًsimForTheWin #Tًrump #Iًraq #مًتحرش_عرعر #بًن_زكري_وال44_احمق #مًتحرش_وادي_الدواسر #حًبيبي_محمد… https://t.co/VVCAdCjSbR
107,"NO RESERVE #AUCTION! #ebay

Sig Sauer P220-1 P220 Magazine 45 ACP 8-Round Factory Mag Italy FAST SHIPPING! #SIG… https://t.co/FbJN4fWNc7"
108,{{Mood}} #AًsimForTheWin #Tًrump #Iًraq #مًتحرش_عرعر #بًن_زكري_وال44_احمق #مًتحرش_وادي_الدواسر #حًبيبي_محمد… https://t.co/ulLPhbszdG
109,{{Mood}} #AًsimForTheWin #Tًrump #Iًraq #مًتحرش_عرعر #بًن_زكري_وال44_احمق #مًتحرش_وادي_الدواسر #حًبيبي_محمد… https://t.co/2MUMRYXHme
110,{{Mood}} #AًsimForTheWin #Tًrump #Iًraq #مًتحرش_عرعر #بًن_زكري_وال44_احمق #مًتحرش_وادي_الدواسر #حًبيبي_محمد… https://t.co/i1vhM3LR4T
