0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
-0.34438705,-0.0714043,0.028217033,-0.04926399,0.21626586,-0.0047120713,-0.017834168,-0.11188759,-0.0924427,0.052483615,0.087227866,0.0027769818,-0.16220745,-0.00269848,-0.057688385,-0.101258345,0.11024386,0.0028144917,0.0071992143,-0.07234427,0.0011018517,-0.21200341,0.034602076,-0.24468052,0.02916792,-0.1347011,0.04599258,-0.05461654,0.03844689,0.09009029,0.20320913,-0.07618644,-0.008131726,0.082151644,-0.20893785,0.017846392,-0.12623331,-0.09204044,-0.12661457,-0.21092772,0.040133737,0.052120786,-0.080547154,0.012602218,-0.07076973,-0.05425185,-0.11019149,-0.11396642,-0.16182366,-0.16570342,-0.11911949,-0.096428245,0.20396829,-0.046000365,-0.09763096,-0.044582166,0.03746467,0.05572463,0.17179923,0.101333186,0.060739685,-0.18163176,-0.022803027,0.107564844,-0.15041813,0.09622976,-0.16621055,0.16678293,0.0006977518,0.09152242,-0.0063576214,0.013280544,-0.08279958,-0.051748104,-0.0072600637,0.020309411,0.015134362,-0.007975998,0.071625285,0.064907655,0.15307939,-0.10555519,0.055100616,-0.15303096,-0.09292629,0.12402649,0.089527026,-0.11639318,0.09336979,0.14443398,0.22550541,0.042474806,-0.059212405,0.039004523,0.24562079,-0.19240457,-0.10197236,0.024638455,0.11517011,-0.012993621
-0.32343015,-0.0672914,0.027057642,-0.046057723,0.20331474,-0.003603828,-0.01785184,-0.10383099,-0.085305005,0.04830518,0.08104037,0.0027823064,-0.15309349,-0.0017118659,-0.05355381,-0.094229765,0.10398042,0.0023508505,0.0063402457,-0.06766854,-0.00019744845,-0.19930074,0.033752594,-0.23036626,0.026550496,-0.12605725,0.04409843,-0.051058955,0.03576209,0.08520472,0.1914465,-0.07038383,-0.009669834,0.07826133,-0.19624762,0.016286757,-0.119192615,-0.084526725,-0.11891329,-0.1971801,0.038304947,0.04727864,-0.07421325,0.012308517,-0.06747656,-0.04864461,-0.10223975,-0.1061707,-0.15211102,-0.15454377,-0.11125146,-0.090460196,0.18998918,-0.0416606,-0.091431305,-0.041895058,0.037097484,0.050575566,0.16011475,0.094926335,0.056601584,-0.1694845,-0.02274477,0.09941215,-0.14121346,0.09085126,-0.15850228,0.15563984,0.002556794,0.08649274,-0.0049374,0.013002937,-0.07831341,-0.049420677,-0.008502724,0.018465726,0.012729019,-0.0092726955,0.06682633,0.061515026,0.14289615,-0.09762701,0.052159835,-0.14511915,-0.08785095,0.11740674,0.08462568,-0.10857477,0.08659612,0.13615341,0.21102662,0.040106818,-0.054981094,0.035871238,0.23099646,-0.17970268,-0.09557147,0.02285566,0.10835972,-0.012812873
-0.3637999,-0.07291999,0.03113631,-0.05983955,0.2332989,-0.0022446974,-0.017560689,-0.1199987,-0.10630063,0.05463312,0.09185916,0.0014633398,-0.1783916,0.0011146961,-0.057386857,-0.10530033,0.11898509,0.00080281054,0.011815552,-0.078720525,-0.0028219535,-0.22072078,0.036636434,-0.2605766,0.032862652,-0.14248316,0.049253892,-0.06006578,0.04448863,0.0961954,0.21961723,-0.0763398,-0.018855112,0.08334524,-0.22286218,0.017954845,-0.1336914,-0.09297685,-0.12959836,-0.22428721,0.042100843,0.059409913,-0.081434146,0.012107062,-0.07450571,-0.062625214,-0.11375965,-0.119437784,-0.16790716,-0.1707986,-0.12947872,-0.10580465,0.2110607,-0.046007082,-0.10509005,-0.048460275,0.03918925,0.058949422,0.17606284,0.10646046,0.06470507,-0.19362885,-0.024863385,0.11126757,-0.1585252,0.1104325,-0.17405026,0.1715443,-0.0016340847,0.09538307,-0.0047927764,0.011320808,-0.084091835,-0.05347114,-0.011691535,0.017551256,0.013240787,-0.008825212,0.07353663,0.061585013,0.16247845,-0.11389536,0.058555137,-0.1598998,-0.09876252,0.13652548,0.09684361,-0.12735409,0.100509785,0.15059519,0.2396488,0.04335111,-0.06330736,0.043547653,0.25435156,-0.20722505,-0.10987814,0.023563359,0.122625664,-0.01574436
-0.3640423,-0.07367782,0.029761573,-0.05471517,0.22844204,-0.0059936834,-0.0186112,-0.118178144,-0.093997404,0.051280424,0.08642414,0.0018500387,-0.1738809,-0.0013592945,-0.059312828,-0.10499547,0.11353518,0.001631646,0.0061091646,-0.07697618,0.0010003956,-0.22058628,0.037403446,-0.25765803,0.032257322,-0.13943805,0.048581436,-0.05690561,0.041024126,0.094713524,0.21261682,-0.07714501,-0.011121544,0.08753493,-0.2168026,0.018598646,-0.13036326,-0.0923339,-0.13074324,-0.21950278,0.041309252,0.055142995,-0.08405507,0.01398924,-0.07653416,-0.05687154,-0.11291371,-0.12069897,-0.17056878,-0.17132083,-0.12780647,-0.10347502,0.21146588,-0.0493982,-0.10342787,-0.046355028,0.041043393,0.05878189,0.17570472,0.106591575,0.06527375,-0.1896006,-0.027987706,0.11325819,-0.16008909,0.100424014,-0.176831,0.17233162,0.00097316626,0.09790239,-0.0064189807,0.017413381,-0.084886245,-0.0517218,-0.007181353,0.017993296,0.01129676,-0.008912616,0.076180205,0.06865893,0.16104071,-0.10981655,0.0593633,-0.15905423,-0.09469399,0.12978862,0.09069836,-0.121572,0.09659309,0.15028156,0.23818058,0.04319845,-0.06365427,0.04423261,0.25770476,-0.1989371,-0.10977292,0.026902666,0.12244538,-0.012808136
-0.29897228,-0.06184673,0.023644615,-0.04105133,0.18657662,-0.0045941165,-0.013443568,-0.09179244,-0.08184822,0.044297025,0.075736724,0.0034344643,-0.14141561,-0.0008500683,-0.048924282,-0.09020765,0.093920395,-0.00015180791,0.006435776,-0.060549434,0.00089031225,-0.18305781,0.034615234,-0.20837672,0.02433721,-0.11567334,0.039815146,-0.04521023,0.036310405,0.07613194,0.17466879,-0.06555922,-0.011954435,0.07210428,-0.17827371,0.015284335,-0.1061147,-0.07760921,-0.11011396,-0.18187232,0.03375503,0.04316058,-0.070012994,0.012034217,-0.061006323,-0.043221712,-0.09502075,-0.09785796,-0.13837415,-0.13764952,-0.10109962,-0.08231628,0.17453048,-0.040850416,-0.085418835,-0.03677595,0.031313557,0.048074692,0.14758918,0.09240273,0.053284205,-0.15531535,-0.022482,0.08969085,-0.13259858,0.08401773,-0.14205182,0.14192757,0.00087197067,0.07611564,-0.0023755736,0.007885349,-0.07214231,-0.043143693,-0.005897444,0.017616488,0.009313463,-0.009015303,0.06009577,0.051716592,0.12674978,-0.090482146,0.046574924,-0.13299981,-0.07797644,0.10347342,0.07569684,-0.100673884,0.07999971,0.12622096,0.19378988,0.039590597,-0.052021343,0.031529892,0.21145678,-0.16560528,-0.08988597,0.018668551,0.101414785,-0.007477663
-0.36374092,-0.07426862,0.028365351,-0.05436234,0.22917543,-0.004084557,-0.020209124,-0.1157709,-0.09477394,0.052298304,0.08792869,0.0001515339,-0.17208618,0.0021216096,-0.059197597,-0.10438018,0.116718926,2.6192201e-06,0.0087033,-0.074372314,0.0025105833,-0.22078758,0.037527487,-0.2549612,0.03409852,-0.14015502,0.049820535,-0.05871268,0.04095258,0.09403316,0.21444461,-0.0760331,-0.01265129,0.08595313,-0.21862286,0.015191,-0.13240302,-0.095399655,-0.1326222,-0.21986479,0.041289326,0.055267498,-0.08505426,0.011648443,-0.075739056,-0.05565146,-0.11344118,-0.122250184,-0.17070226,-0.17166439,-0.12679139,-0.10108677,0.21287435,-0.048976168,-0.103012905,-0.04695599,0.03821836,0.058420964,0.17696945,0.10440752,0.06315979,-0.188505,-0.028293746,0.11151261,-0.15656962,0.10000258,-0.17429076,0.17621218,0.0013118113,0.09471394,-0.005711573,0.015317942,-0.08447897,-0.052073,-0.004885808,0.019361304,0.012823496,-0.009255964,0.07391502,0.06824654,0.16085385,-0.108648814,0.057137623,-0.16028033,-0.09457859,0.13091345,0.08941621,-0.119789615,0.097859025,0.15188125,0.2359937,0.044184312,-0.065547444,0.04084572,0.2566705,-0.200252,-0.10681207,0.027117332,0.12136503,-0.012777652
-0.29334354,-0.05886572,0.024061412,-0.042007677,0.18204711,-0.004101808,-0.012118748,-0.09644652,-0.07726115,0.04387757,0.0724523,0.0038607344,-0.13836202,-0.00037198587,-0.047847044,-0.08431038,0.09260526,0.00053093676,0.0066045728,-0.059014495,0.0018667633,-0.17623702,0.029835446,-0.20522326,0.025896411,-0.113739446,0.041467387,-0.045730013,0.03391966,0.07436364,0.17035031,-0.06270294,-0.0075656236,0.070488,-0.17585133,0.013678933,-0.105308026,-0.07577562,-0.10619753,-0.17602946,0.034137953,0.04431565,-0.06848453,0.009354142,-0.06100854,-0.047861036,-0.09207323,-0.096793465,-0.1389208,-0.13718063,-0.101227865,-0.08051996,0.17202903,-0.040205043,-0.08283724,-0.03936243,0.032984592,0.04760032,0.14234214,0.08664948,0.049877394,-0.15190382,-0.020633558,0.09003176,-0.128468,0.07918744,-0.14021686,0.14101884,0.0022644054,0.07943469,-0.003918882,0.011754101,-0.07217168,-0.04381311,-0.0071223723,0.015330029,0.009895336,-0.008198375,0.059271704,0.055161472,0.12692639,-0.088939205,0.046147488,-0.12971854,-0.0780621,0.10460703,0.07239733,-0.097111925,0.07872771,0.12155758,0.19139718,0.035595857,-0.052055527,0.03143394,0.20881444,-0.1624007,-0.085048646,0.021878293,0.100273386,-0.012212931
-0.41409105,-0.08341389,0.03667274,-0.06139284,0.25840038,-0.0026677859,-0.019152848,-0.13458627,-0.11304458,0.06109213,0.10173071,0.004349039,-0.19761884,-0.00047796985,-0.06661649,-0.11901293,0.13064875,0.000827983,0.010659889,-0.0856327,0.0019549278,-0.25101778,0.04135372,-0.29211542,0.03819308,-0.16128084,0.05594671,-0.06589515,0.046388492,0.10896158,0.24216978,-0.08871004,-0.013996119,0.098339,-0.25124353,0.01903561,-0.14973307,-0.10937427,-0.14993362,-0.24934103,0.04590427,0.06468702,-0.09618373,0.015674256,-0.086423315,-0.068241976,-0.13132098,-0.13409466,-0.19261183,-0.19741784,-0.1441892,-0.11430458,0.24305737,-0.0558296,-0.11474199,-0.051979728,0.046680026,0.06782371,0.19721077,0.123439044,0.06922901,-0.21998766,-0.030746995,0.12354502,-0.17891271,0.11676532,-0.19949657,0.20202596,0.002357581,0.10734035,-0.008312442,0.016186982,-0.097454615,-0.06124179,-0.011400897,0.02388626,0.012037523,-0.013458871,0.083793126,0.07537179,0.18419054,-0.12560531,0.0657597,-0.18185948,-0.10941931,0.1469648,0.10682057,-0.13535665,0.109372966,0.1679607,0.26884377,0.04902866,-0.07164092,0.045828942,0.28908744,-0.22773828,-0.12113965,0.03216452,0.14177491,-0.017124837
-0.3124373,-0.06237632,0.025523007,-0.046698336,0.19533513,-0.0026158208,-0.014751443,-0.10015995,-0.08101007,0.04586755,0.07700393,0.00016872764,-0.14844829,-0.00026180668,-0.05038858,-0.09002978,0.100268014,0.0010890189,0.005939344,-0.064973384,0.001893264,-0.1917274,0.031794008,-0.21905126,0.027486676,-0.12133568,0.042767003,-0.051019613,0.036706824,0.0813862,0.18413973,-0.06778764,-0.008307403,0.073853426,-0.18591322,0.013666191,-0.1142437,-0.08043797,-0.11375317,-0.18967773,0.034140896,0.047060348,-0.07013094,0.012087551,-0.065367855,-0.048510395,-0.098794825,-0.103253484,-0.14525284,-0.14877585,-0.10737963,-0.087388106,0.18355866,-0.04380698,-0.08827735,-0.039145447,0.033444494,0.05307765,0.15121412,0.093407266,0.053490784,-0.16324487,-0.023302888,0.09766369,-0.1373545,0.08523676,-0.14924999,0.14981578,0.000658592,0.082405396,-0.006971802,0.01281659,-0.07498937,-0.04512746,-0.0071519567,0.018647337,0.008551081,-0.0067656767,0.06530251,0.059838127,0.13741714,-0.09441029,0.047855806,-0.13794768,-0.08216834,0.112905145,0.079146534,-0.10515058,0.0819875,0.13103384,0.20457377,0.03793135,-0.055333544,0.035752915,0.2190072,-0.17382358,-0.09306173,0.022474913,0.1064493,-0.011417413
-0.3740794,-0.07455345,0.03269132,-0.06210451,0.23994814,-0.0019470684,-0.018029783,-0.12221084,-0.11069021,0.05649856,0.09403546,0.0013213175,-0.1838186,0.0018156078,-0.05877352,-0.10787933,0.1227461,0.00037094022,0.012531903,-0.08072005,-0.0028738163,-0.22721936,0.038247634,-0.26855728,0.032895867,-0.14617644,0.05027249,-0.061048605,0.046199914,0.099374,0.22660662,-0.079468995,-0.02053348,0.08453451,-0.2287921,0.01812169,-0.1373033,-0.09549543,-0.13380152,-0.23093428,0.043611635,0.060054008,-0.08428455,0.011150588,-0.07588641,-0.06456164,-0.11760926,-0.12268536,-0.17348711,-0.17573151,-0.1328511,-0.10953562,0.21745238,-0.0477118,-0.10784976,-0.049570132,0.040110774,0.060126517,0.18040045,0.10934121,0.06559438,-0.2000398,-0.024526225,0.11457611,-0.16314946,0.11391907,-0.1787181,0.17621548,-0.0015305295,0.09778381,-0.004486882,0.010453571,-0.08626969,-0.05437819,-0.012704319,0.018061774,0.014057913,-0.010221892,0.07583981,0.06334664,0.16700588,-0.11654416,0.05928993,-0.16440491,-0.10150955,0.1400628,0.099123485,-0.13069002,0.104133986,0.15479575,0.24678844,0.043734383,-0.06533428,0.04405334,0.26070789,-0.21276307,-0.113263465,0.02323361,0.12683214,-0.015859168
