,text
39,"Mutual funds, ETFs, robo-advisers &amp; hedge funds experiencing capital market losses due to the #coronavirus &amp; #oilprice induced volatility should waive management fees rather than exacerbate their clients’ losses. 
@markets @WSJmarkets @BNNBloomberg #oott #investing @ETFEdgeCNBC"
40,"What’s so scary about this debate is that we have two #Democrats, fighting on the best way to deal with the #coronavirus. We are walking a very fine line here, possibly further dividing a party that needs to #unite to beat @realDonaldTrump. #DemDebate"
41,"WTH if the candidates need to be six feet a part so do the moderators @CNN!

#DemDebate 
#DemocraticDebate 
#SocialDistancingNow 
#Coronavirus https://t.co/lzNxyi4Cku"
42,"Guys, you do realize #CoronaVirus doesn’t come with diarrhea, dom’t you? Why the hell are you buying all the toilet paper you can find?"
43,"What @JoeBiden doesn’t address is that if there was universal healthcare, we’d be ahead of the curve- earlier detection and support for families that contract the #coronavirus would flatten the curve. #COVIDー19 #DemocraticDebate #DemDebate @BernieSanders"
44,Can we start outsourcing our #coronavirus tests to other countries? 🤷🏼‍♀️
45,"I can't help to #wonder-We live in a #society already so detached from a #human connection, now we move into this newly introduced #lifestyle
No touching, No kissing, No hugging,  Keep a 6 feet distance. #weare already far away from one another
how will the #coronavirus change us https://t.co/2zktQDkLla"
46,"What about separating our populations into vulnerable and non-vulnerable. Age groups need to swap homes and quarantine parts of towns/cities with one entry point for deliveries.
#coronavirus #CoronavirusOutbreak"
47,"@BostonGlobe Hey @CharlieBakerMA @MassGovernor 

Reminder- the First Amendment is in full and vigorous effect, notwithstanding the #coronavirus

It’s illegal to ban public gatherings and restrict freedom of movement.  

CC to @uscourts @TheJusticeDept"
48,"@daisyiswack We're more Communistic at #VoteCorona2020. We believe sharing is caring and that in the end of things, you'll all look the same after our tenure! 

Nice necklace! #coronavirus"
49,Allama Shahenshah Naqvi sb makes a very important public service message regarding the precautionary measures that everyone needs to take in respect of #coronavirus @murtazawahab1 @SyedNasirHShah @SaeedGhani1 @MuradAliShahPPP @WaqarMehdiPPP1 @BBhuttoZardari https://t.co/NhEOgOvDxK
50,"If nothing else good comes of this very uncertain time, I'm hopeful that it will lay bare the dire harm that under-investment in public goods and over-reliance on privatization has done to erode essential functions and structures that people need. #DemDebate #coronavirus https://t.co/UgvfuR9zHx"
51,"As @tconnellyRTE is to #Brexit, so @FergalBowers is to #COVID19/#coronavirus - Trojan work, authoritative &amp; measured."
52,"@JoeBiden voted for and openly supported the Iraq War. Combating a pandemic is nothing like an unjust invasion of a sovereign nation. 

#DemDebate #DemocraticDebate #BidenLosesToTrump #COVID19 #coronavirus https://t.co/XckNtW3cfF"
53,Very intresting #coronavirus https://t.co/XiMkJduysZ
54,"Some of these #coronavirus memes are too good to not share 😆

...&amp;before you come at me to lecture me on the seriousness of the situation...trust me when I say that I am well aware. Sometimes you just gotta look for the humor

#coronapocolypse #CoronavirusUSA #coronavirusmemes https://t.co/IfKilgXYMJ"
55,"@DanaBashCNN is trying to get a “hard on China” stance from Sanders given the #CoronaVirus 😐 Sanders wants to work together and be more diplomatic, open and transparent. Biden wants us to “get into China” and “lead the world” 🤔 wtf #DemDebate #DemocraticDebate"
56,"#FED started too soon... Should have let the market fall the past two years, then add for a huge bounce/recovery AFTER the #coronavirus hits the economy hard

Now they ran out of ammo, the worst has not hit, and the debt is far greater

Less trust now also"
57,"@PhillipCoorey You would trust this information  from a source that has given the public conflicting, contradictory information  on several occasions #coronavirus OK to shake hands in the morning not so by the afternoon. 
We need information from apolitical, qualified experts."
58,"Welp. #coronavirus 
https://t.co/iTpZHOIhj4"
59,"@piersmorgan @BorisJohnson Just like Blair, now it's Boris.
We are porn's for the US, yet they will leave us on are own.
You fools cannot see it, just wait till #coronavirus hits us hard which it will."
60,"#covidー19uk #StayAtHome #StayTheFHome #coronavirus #COVID19 #CoronaVirusitaly 
If Italy's lockdown works they should see the effect by next weekend. Fingers crossed for them. Will be a major indicator for rest of the world. 
Why UK not in lockdown? Murderous Incompetence."
61,The first 20 minutes of the #coronavirus portion of the debate perfectly mirrors the deeper differences between Bernie and Biden. Bernie thinks it reveals deep structural flaws that need to be addressed. Biden thinks it’s an emergency that needs action right friggin’ now.
62,@neverunderpar13 @glamelegance @BarackObama Nope Cheeto is not my President. He also knew about #coronavirus in November and swept it under the rug because it’s always about him.
63,This statement will live in infamy. #coronavirus https://t.co/NtYdPGY4ZY
64,"We now interrupt your regularly scheduled #Coronavirus feed for an adorable change of pace! Lucas thought you all could use a break from all that stress! 
•
•
•
•
#LucasSpencer #LSG #BabyGallien #StressRelief… https://t.co/3alPQJ7y45"
65,"The Roche distribution team is burning the midnight oil to get #SARSCoV2 test kits to labs so that more people can be tested for #coronavirus.
Nearly 200,000 tests shipped so far! Learn more about the test, including FAQs, here: https://t.co/NS1upW340w
#coronavirus #COVID19 https://t.co/3oUwkmNZTz"
66,COVID-19 Concerns May Boost #Ecommerce as Consumers Avoid Stores https://t.co/2E6qxHuyNJ #COVID19 #Coronavirus
67,"Global health expert says U.S. Federal response to #Coronavirus has been a fiasco. 

@realDonaldTrump and @VP have lied to us since Day 1. And they’re still lying to us today. They are now LITERALLY killing us. 
https://t.co/zvD2bESVvp"
68,Q on consequences for China for its role on the crisis. Sanders say it is a moment for world to work together. Biden says we should have sent representative to China at start warning them of consequences. #DemDebate #coronavirus
69,On China’s role in this global crisis they’ve got to learn you cannot lie to the american people .. about the nature of the crisis what bothers me very much you have a president who is praising China - @BernieSanders  #DemocraticDebate #coronavirus
70,"Snapchat filters lol This one is hilarious #toiletpaper #covid_19 #corona #coronavirus #corona2020 #snapchat👻 #snapchatfilter #ridiculous @ Manville, Rhode Island https://t.co/JbFYVXYvBs"
71,"One of my all-time favorite movies, #Outbreak, is trending on #Netflix right now.  So of course, on day 3 of social isolation, I'm watching it for the 50,000th time.  This movie is kind of freaking me out this time around. 😭 #coronavirus"
72,@pattonoswalt can you try to get in so we can find out how Jared got the #coronavirus  advice https://t.co/6RsSSfK4XH
73,Quit wearing those dumb masks especially if you’re young y’all look dumb af 😒 #coronavirus
74,This seems to directly contradict the guidance of pretty much all the public health experts &amp; officials speaking out on #coronavirus https://t.co/2Fy6UBQkZO
75,"@mitchellvii Climate Denier @mitchellvii tries to blind you with science after saying #coronavirus was a Democrat (sic) hoax. Remember this after the bodies start piling up.
Meanwhile @realDonaldTrump and #Neonazi #StephenMiller create a virus incubator at every airport. #goebbels does health https://t.co/C0I6fsK491"
76,"Have a feeling @JoeBiden will get a lot of free passes for memory lapses. Of Ebola, he said “what happened in Africa” in initial answer on how he would fight the virus. #DemocraticDebate #coronavirus"
77,"Sanders says you cant lie to the American people, referring to China, and the statements of Trump about #coronavirus #CNNDebate #JoeBiden #BernieSanders #DemocraticDebate #WashingtonPrimary #DemocraticPrimary #Primary2020 #2020primaries #2020presidentialelection #Election2020"
78,"Academy of Country Music postpones awards show amid virus - ABC News - https://t.co/9rsKToXFcP 
#coronavirus #acm"
79,"#coronavirus UK health minister Wancock with another moronic approach to coronavirus: lock up over 70s. No details yet (like, who, in an already stretched-to-snapping-point health system, will treat anyone who falls sick etc) ... those will follow in next few weeks. #CluelessMatt"
80,Life in the Time of #COVID-19: Revenge of the Bat https://t.co/VgqfDuhcBT via @NEWSJUNKIEPOST #coronavirus #Italy #Spain #France #coronavirusenFrance
81,"Important guidance for homeowners reconnecting to municipal water supplies as part of #Coronavirus public health initiative. Flushing system, cleaning aerators minimizes risk from lead, other contaminants: https://t.co/jmXH28drhU https://t.co/c7xPgZC007"
82,"It's crazy here in Boston.
Pray for me.
#coronavirus"
83,"I agree with @JoeBiden on activating the military to help flatten the curve in this #coronavirus pandemic. Now if Biden adopts @AndrewYang's #UBI, I'm in."
84,The #Celebrity Coronavirus tracker is out. Follow along here: https://t.co/7oZQcPpJyo #coronavirus
85,"If you don’t have access to food this week because of schools being canceled, contact me. Whether you’re on free and reduced lunch or you’re just unable to get to the store, I will find some way to get you food. My DMs are open for privacy. #coronapocolypse #coronavirus"
86,"We went for an old fashioned Sunday drive today. We kept our distance from people but stopped here and there to snap a pic.
#SeattleCenter #SocialDistancing #coronavirus #Seattle https://t.co/PrUlPEQeSK"
87,"i bet there is already a vaccine for the corona virus🦠. #COVIDー19 #coronapocolypse #StayTheFHome #coronavirus #HighRiskCovid19 #CoronaVirusUpdates 
explain how trump and ivanka are both chillin, shaking hands, spreading nasty trump cooties and still alive. 👀"
88,@24hourfitness Its interesting that you only offer a freeze option for my membership THAT COSTS MONEY TO NO LONGER USE YOUR SERVICES during a national emergency. What a cheap shot. I guess your employees and ellipticals are immune to the #coronavirus
89,"Sanders: ""We cannot be less than frank"" about this crisis. Biden: We should have led on #coronavirus. ""We need strong leadership."" #DemDebate #COVIDー19"
90,"A Deadly Lack of Leadership from @realDonaldTrump who is more concerned that he's wearing a campaign hat than telling the truth #NotALeader #coronavirus #FactsMatter #TrumpKnewTrumpLied  #WorstPresidentInHistory 
https://t.co/TI4J3QhlGx"
91,any word on gyms alleviating membership without penalty until this subsides? #coronavirus @NYSC @CrunchGym @Equinox
92,"The reason we're buying so much toilet paper .... 🤣

#ToiletPaperPanic
#coronavirus https://t.co/ni1Nt8Kv8G"
93,"Hey @netflix ! Can you remove the “Are you still watching?” warning during this #SocialDistancing era? Yes... We’re all still fkn watching. 😷🤷‍♀️
#coronavirus #netflixandsocialdistance #loudouncounty"
94,"Biden doesn't have the slightest clue of how big and dangerous the #CoronaVirus is.

He is just saying empty platitudes.

Meanwhile Sanders actually is being specific about action plans.

This isn't a debate, this is Bernie shining and Joe whining.
#DemDebate"
95,dogs are loving this social distancing because I am quarantined and chilling with mine! #DogsofTwittter #coronavirus #SocialDistancing #QuarantineAndChill https://t.co/7wAYdAQDSJ
